,date,high temp,high temp historic,low temp,low temp historic,average,average historic,precipitation,precipitation historic,max wind,max wind historic,pressure,pressure historic,sunrise,sunset
0,2015-1-1,21,39.1,7,28.9,13.88,34,0.0,0.1,8,-,30.29,-,07:17,16:09
1,2015-1-2,32,39.0,21,28.8,26.58,34,0.0,0.1,8,-,30.26,-,07:17,16:09
2,2015-1-3,43,38.9,28,28.7,35.21,33,0.0,0.1,12,-,30.09,-,07:17,16:10
3,2015-1-4,41,38.8,32,28.6,36.25,33,0.0,0.1,23,-,29.8,-,07:17,16:11
4,2015-1-5,37,38.7,30,28.5,33.69,33,0.0,0.1,20,-,29.91,-,07:17,16:12
5,2015-1-6,34,38.6,25,28.4,31.04,33,0.0,0.1,20,-,30.03,-,07:17,16:13
6,2015-1-7,25,38.6,16,28.3,20.98,33,0.0,0.1,9,-,30.24,-,07:17,16:14
7,2015-1-8,30,38.5,19,28.2,25.52,33,0.0,0.1,8,-,30.21,-,07:17,16:15
8,2015-1-9,43,38.4,25,28.1,35.27,33,0.0,0.1,14,-,30.12,-,07:16,16:16
9,2015-1-10,54,38.4,37,28.0,44.56,33,0.0,0.1,15,-,29.68,-,07:16,16:18
10,2015-1-11,54,38.3,36,28.0,41.4,33,0.0,0.1,23,-,29.8,-,07:16,16:19
11,2015-1-12,45,38.3,32,27.9,37.17,33,0.0,0.1,22,-,30.03,-,07:15,16:20
12,2015-1-13,52,38.3,30,27.9,39.67,33,0.0,0.1,10,-,30.0,-,07:15,16:21
13,2015-1-14,50,38.3,27,27.9,36.5,33,0.0,0.1,8,-,29.83,-,07:14,16:22
14,2015-1-15,50,38.3,36,27.9,40.63,33,0.0,0.1,10,-,29.89,-,07:14,16:24
15,2015-1-16,55,38.3,30,27.9,42.23,33,0.0,0.1,12,-,29.8,-,07:13,16:25
16,2015-1-17,59,38.3,37,27.9,49.25,33,0.0,0.1,14,-,29.71,-,07:13,16:26
17,2015-1-18,54,38.4,43,27.9,48.75,33,0.0,0.1,12,-,29.74,-,07:12,16:27
18,2015-1-19,46,38.4,43,27.9,43.92,33,0.0,0.1,12,-,29.62,-,07:11,16:29
19,2015-1-20,52,38.5,41,28.0,46.27,33,0.0,0.1,12,-,29.62,-,07:11,16:30
20,2015-1-21,50,38.6,39,28.0,44.25,33,0.0,0.1,8,-,29.59,-,07:10,16:31
21,2015-1-22,54,38.7,43,28.1,45.35,33,0.0,0.1,14,-,29.65,-,07:09,16:33
22,2015-1-23,45,38.8,41,28.2,43.33,33,0.0,0.1,17,-,29.51,-,07:08,16:34
23,2015-1-24,43,38.9,36,28.2,39.77,33,0.0,0.1,18,-,29.54,-,07:08,16:35
24,2015-1-25,36,39.0,32,28.3,34.96,33,0.0,0.1,15,-,29.8,-,07:07,16:37
25,2015-1-26,36,39.1,32,28.4,33.21,33,0.0,0.1,12,-,29.89,-,07:06,16:38
26,2015-1-27,37,39.3,32,28.5,35.02,33,0.0,0.1,8,-,29.8,-,07:05,16:40
27,2015-1-28,36,39.4,32,28.6,33.58,34,0.0,0.1,12,-,29.71,-,07:04,16:41
28,2015-1-29,45,39.6,30,28.8,37.44,34,0.0,0.1,13,-,29.56,-,07:03,16:42
29,2015-1-30,54,39.7,39,28.9,48.6,34,0.0,0.1,35,-,29.04,-,07:02,16:44
30,2015-1-31,46,39.9,34,29.0,37.9,34,0.0,0.1,26,-,28.95,-,07:01,16:45
31,2015-2-1,39,40.1,34,29.2,37.81,34,0.0,0.1,15,-,29.01,-,07:00,16:47
32,2015-2-2,39,40.3,32,29.3,35.81,34,0.0,0.1,16,-,29.3,-,06:58,16:48
33,2015-2-3,48,40.5,28,29.5,37.67,34,0.0,0.1,12,-,29.42,-,06:57,16:49
34,2015-2-4,50,40.7,37,29.6,41.0,35,0.0,0.1,30,-,29.56,-,06:56,16:51
35,2015-2-5,43,40.9,36,29.8,38.56,35,0.0,0.1,13,-,29.59,-,06:55,16:52
36,2015-2-6,43,41.1,32,30.0,37.6,35,0.0,0.1,28,-,29.65,-,06:54,16:54
37,2015-2-7,36,41.4,30,30.1,33.04,35,0.0,0.1,12,-,29.86,-,06:52,16:55
38,2015-2-8,34,41.6,30,30.3,31.0,35,0.0,0.1,24,-,29.71,-,06:51,16:57
39,2015-2-9,32,41.9,23,30.5,28.13,36,0.0,0.1,20,-,29.74,-,06:50,16:58
40,2015-2-10,36,42.1,28,30.7,33.04,36,0.0,0.1,15,-,29.91,-,06:48,17:00
41,2015-2-11,39,42.4,32,30.9,35.23,36,0.0,0.1,12,-,29.97,-,06:47,17:01
